256 256
-6.0 -6.0 -7.55237
-5.953 -6.0 -7.54758
-5.906 -6.0 -7.55239
-5.859 -6.0 -7.56451
-5.812 -6.0 -7.57865
-5.765 -6.0 -7.59007
-5.718 -6.0 -7.59695
-5.671 -6.0 -7.60006
-5.624 -6.0 -7.60147
-5.576 -6.0 -7.60099
-5.529 -6.0 -7.60008
-5.482 -6.0 -7.59838
-5.435 -6.0 -7.59376
-5.388 -6.0 -7.58435
-5.341 -6.0 -7.56737
-5.294 -6.0 -7.5418
-5.247 -6.0 -7.50968
-5.2 -6.0 -7.47658
-5.153 -6.0 -7.44734
-5.106 -6.0 -7.42318
-5.059 -6.0 -7.4018
-5.012 -6.0 -7.3817
-4.965 -6.0 -7.36716
-4.918 -6.0 -7.36645
-4.871 -6.0 -7.3843
-4.824 -6.0 -7.41612
-4.776 -6.0 -7.4505
-4.729 -6.0 -7.47242
-4.682 -6.0 -7.47855
-4.635 -6.0 -7.47245
-4.588 -6.0 -7.46031
-4.541 -6.0 -7.447
-4.494 -6.0 -7.43974
-4.447 -6.0 -7.4422
-4.4 -6.0 -7.45063
-4.353 -6.0 -7.45594
-4.306 -6.0 -7.45044
-4.259 -6.0 -7.4368
-4.212 -6.0 -7.42523
-4.165 -6.0 -7.42377
-4.118 -6.0 -7.43134
-4.071 -6.0 -7.43985
-4.024 -6.0 -7.43966
-3.976 -6.0 -7.42728
-3.929 -6.0 -7.40676
-3.882 -6.0 -7.38515
-3.835 -6.0 -7.36936
-3.788 -6.0 -7.36194
-3.741 -6.0 -7.36419
-3.694 -6.0 -7.37347
-3.647 -6.0 -7.3835
-3.6 -6.0 -7.38807
-3.553 -6.0 -7.38552
-3.506 -6.0 -7.3786
-3.459 -6.0 -7.37175
-3.412 -6.0 -7.36455
-3.365 -6.0 -7.35331
-3.318 -6.0 -7.3354
-3.271 -6.0 -7.3157
-3.224 -6.0 -7.29939
-3.176 -6.0 -7.28848
-3.129 -6.0 -7.28002
-3.082 -6.0 -7.27033
-3.035 -6.0 -7.25776
-2.988 -6.0 -7.24289
-2.941 -6.0 -7.22752
-2.894 -6.0 -7.21231
-2.847 -6.0 -7.19783
-2.8 -6.0 -7.18412
-2.753 -6.0 -7.17193
-2.706 -6.0 -7.16256
-2.659 -6.0 -7.15622
-2.612 -6.0 -7.15151
-2.565 -6.0 -7.14494
-2.518 -6.0 -7.13199
-2.471 -6.0 -7.11423
-2.424 -6.0 -7.09315
-2.376 -6.0 -7.07255
-2.329 -6.0 -7.05581
-2.282 -6.0 -7.04314
-2.235 -6.0 -7.03507
-2.188 -6.0 -7.02844
-2.141 -6.0 -7.02038
-2.094 -6.0 -7.00979
-2.047 -6.0 -6.99974
-2.0 -6.0 -6.99443
-1.953 -6.0 -6.99665
-1.906 -6.0 -7.00541
-1.859 -6.0 -7.014
-1.812 -6.0 -7.01373
-1.765 -6.0 -6.9989
-1.718 -6.0 -6.9711
-1.671 -6.0 -6.94006
-1.624 -6.0 -6.9149
-1.576 -6.0 -6.90043
-1.529 -6.0 -6.89612
-1.482 -6.0 -6.89849
-1.435 -6.0 -6.90557
-1.388 -6.0 -6.91753
-1.341 -6.0 -6.93642
-1.294 -6.0 -6.96331
-1.247 -6.0 -6.99205
-1.2 -6.0 -7.01509
-1.153 -6.0 -7.0282
-1.106 -6.0 -7.03494
-1.059 -6.0 -7.04375
-1.012 -6.0 -7.0595
-0.965 -6.0 -7.08066
-0.918 -6.0 -7.10205
-0.871 -6.0 -7.11885
-0.824 -6.0 -7.12697
-0.776 -6.0 -7.12875
-0.729 -6.0 -7.12595
-0.682 -6.0 -7.12081
-0.635 -6.0 -7.11824
-0.588 -6.0 -7.12206
-0.541 -6.0 -7.13602
-0.494 -6.0 -7.16128
-0.447 -6.0 -7.1929
-0.4 -6.0 -7.22048
-0.353 -6.0 -7.23611
-0.306 -6.0 -7.23276
-0.259 -6.0 -7.21412
-0.212 -6.0 -7.18582
-0.165 -6.0 -7.15599
-0.118 -6.0 -7.13179
-0.071 -6.0 -7.11646
-0.024 -6.0 -7.11179
0.024 -6.0 -7.11708
0.071 -6.0 -7.13196
0.118 -6.0 -7.15435
0.165 -6.0 -7.18199
0.212 -6.0 -7.21127
0.259 -6.0 -7.23625
0.306 -6.0 -7.25243
0.353 -6.0 -7.26022
0.4 -6.0 -7.25799
0.447 -6.0 -7.24726
0.494 -6.0 -7.23163
0.541 -6.0 -7.21944
0.588 -6.0 -7.21816
0.635 -6.0 -7.23165
0.682 -6.0 -7.25675
0.729 -6.0 -7.28344
0.776 -6.0 -7.30117
0.824 -6.0 -7.30486
0.871 -6.0 -7.29584
0.918 -6.0 -7.27688
0.965 -6.0 -7.25237
1.012 -6.0 -7.22947
1.059 -6.0 -7.21457
1.106 -6.0 -7.21167
1.153 -6.0 -7.22071
1.2 -6.0 -7.23636
1.247 -6.0 -7.25008
1.294 -6.0 -7.25351
1.341 -6.0 -7.24354
1.388 -6.0 -7.22641
1.435 -6.0 -7.21216
1.482 -6.0 -7.2101
1.529 -6.0 -7.22089
1.576 -6.0 -7.2429
1.624 -6.0 -7.26918
1.671 -6.0 -7.2902
1.718 -6.0 -7.29714
1.765 -6.0 -7.28311
1.812 -6.0 -7.2491
1.859 -6.0 -7.20361
1.906 -6.0 -7.15744
1.953 -6.0 -7.1198
2.0 -6.0 -7.09573
2.047 -6.0 -7.08831
2.094 -6.0 -7.0956
2.141 -6.0 -7.11085
2.188 -6.0 -7.12132
2.235 -6.0 -7.11463
2.282 -6.0 -7.09
2.329 -6.0 -7.05869
2.376 -6.0 -7.03546
2.424 -6.0 -7.02596
2.471 -6.0 -7.02837
2.518 -6.0 -7.03643
2.565 -6.0 -7.0492
2.612 -6.0 -7.07069
